Town,Zipcode,County,State
Cullman,35058,Cullman,Alabama
Garden City,35070,Cullman,Alabama
Hanceville,35077,Cullman,Alabama
Holly Pond,35083,Cullman,Alabama
Joppa,35087,Cullman,Alabama
Logan,35098,Cullman,Alabama
Vinemont,35179,Cullman,Alabama
Daleville,36322,Dale,Alabama
Midland City,36350,Dale,Alabama
Ozark,36360,Dale,Alabama
Ozark,36361,Dale,Alabama
Fort Rucker,36362,Dale,Alabama
Pinckard,36371,Dale,Alabama
Skipperville,36374,Dale,Alabama
Selma,36701,Dallas,Alabama
Selma,36702,Dallas,Alabama
Selma,36703,Dallas,Alabama
Plantersville,36758,Dallas,Alabama
Marion Junction,36759,Dallas,Alabama
Minter,36761,Dallas,Alabama
Morvin,36762,Dallas,Alabama
Orrville,36767,Dallas,Alabama
Safford,36773,Dallas,Alabama
Sardis,36775,Dallas,Alabama
Crossville,35962,DeKalb,Alabama
Dawson,35963,DeKalb,Alabama
Douglas,35964,DeKalb,Alabama
Fort Payne,35967,DeKalb,Alabama
Fort Payne,35968,DeKalb,Alabama
Fyffe,35971,DeKalb,Alabama
Geraldine,35974,DeKalb,Alabama
Groveoak,35975,DeKalb,Alabama
Henagar,35978,DeKalb,Alabama
Higdon,35979,DeKalb,Alabama
Ider,35981,DeKalb,Alabama
Mentone,35984,DeKalb,Alabama
Rainsville,35986,DeKalb,Alabama
Sylvania,35988,DeKalb,Alabama
Valley Head,35989,DeKalb,Alabama
Coosada,36020,Elmore,Alabama
Deatsville,36022,Elmore,Alabama
East Tallassee,36023,Elmore,Alabama
Eclectic,36024,Elmore,Alabama
Elmore,36025,Elmore,Alabama
Millbrook,36054,Elmore,Alabama
Mount Meigs,36057,Elmore,Alabama
Perote,36061,Elmore,Alabama
Petrey,36062,Elmore,Alabama
Tallassee,36078,Elmore,Alabama
Titus,36080,Elmore,Alabama
Wetumpka,36092,Elmore,Alabama
Wetumpka,36093,Elmore,Alabama
Montgomery,36101,Elmore,Alabama
Montgomery,36102,Elmore,Alabama
Montgomery,36103,Elmore,Alabama
Brewton,36426,Escambia,Alabama
Brewton,36427,Escambia,Alabama
Brooklyn,36429,Escambia,Alabama
Flomaton,36441,Escambia,Alabama
Atmore,36502,Escambia,Alabama
Atmore,36503,Escambia,Alabama
Atmore,36504,Escambia,Alabama
Huxford,36543,Escambia,Alabama
Gadsden,35901,Etowah,Alabama
Gadsden,35902,Etowah,Alabama
Gadsden,35903,Etowah,Alabama
Gadsden,35904,Etowah,Alabama
Gadsden,35905,Etowah,Alabama
Rainbow City,35906,Etowah,Alabama
Gadsden,35907,Etowah,Alabama
Altoona,35952,Etowah,Alabama
Attalla,35954,Etowah,Alabama
Boaz,35956,Etowah,Alabama
Gallant,35972,Etowah,Alabama
Walnut Grove,35990,Etowah,Alabama
Piedmont,36272,Etowah,Alabama
Bankston,35542,Fayette,Alabama
Belk,35545,Fayette,Alabama
Berry,35546,Fayette,Alabama
Fayette,35555,Fayette,Alabama
Glen Allen,35559,Fayette,Alabama
Goodsprings,35560,Fayette,Alabama
Kennedy,35574,Fayette,Alabama
Hodges,35571,Franklin,Alabama
Phil Campbell,35581,Franklin,Alabama
Red Bay,35582,Franklin,Alabama
Spruce Pine,35585,Franklin,Alabama
Vina,35593,Franklin,Alabama
Russellville,35653,Franklin,Alabama
Russellville,35654,Franklin,Alabama
Bellwood,36313,Geneva,Alabama
Black,36314,Geneva,Alabama
Chancellor,36316,Geneva,Alabama
Coffee Springs,36318,Geneva,Alabama
Geneva,36340,Geneva,Alabama
Hartford,36344,Geneva,Alabama
Slocomb,36375,Geneva,Alabama
Samson,36477,Geneva,Alabama
Boligee,35443,Greene,Alabama
Eutaw,35462,Greene,Alabama
Knoxville,35469,Greene,Alabama
Forkland,36740,Greene,Alabama
Furman,36741,Greene,Alabama
Akron,35441,Hale,Alabama
Moundville,35474,Hale,Alabama
Greensboro,36744,Hale,Alabama
Jefferson,36745,Hale,Alabama
Newbern,36765,Hale,Alabama
Sawyerville,36776,Hale,Alabama
Abbeville,36310,Henry,Alabama
Headland,36345,Henry,Alabama
Newville,36353,Henry,Alabama
Shorterville,36373,Henry,Alabama
Dothan,36301,Houston,Alabama
Dothan,36302,Houston,Alabama
Dothan,36303,Houston,Alabama
Dothan,36304,Houston,Alabama
Dothan,36305,Houston,Alabama
Ashford,36312,Houston,Alabama
Columbia,36319,Houston,Alabama
Cottonwood,36320,Houston,Alabama
Cowarts,36321,Houston,Alabama
Gordon,36343,Houston,Alabama
Newton,36352,Houston,Alabama
Pansey,36370,Houston,Alabama
Webb,36376,Houston,Alabama
Bridgeport,35740,Jackson,Alabama
Dutton,35744,Jackson,Alabama
Estillfork,35745,Jackson,Alabama
Fackler,35746,Jackson,Alabama
Hollytree,35751,Jackson,Alabama
Hollywood,35752,Jackson,Alabama
Paint Rock,35764,Jackson,Alabama
Pisgah,35765,Jackson,Alabama
Princeton,35766,Jackson,Alabama
Ryland,35767,Jackson,Alabama
Scottsboro,35768,Jackson,Alabama
Scottsboro,35769,Jackson,Alabama
Section,35771,Jackson,Alabama
Stevenson,35772,Jackson,Alabama
Trenton,35774,Jackson,Alabama
Woodville,35776,Jackson,Alabama
Bryant,35958,Jackson,Alabama
Flat Rock,35966,Jackson,Alabama
Adamsville,35005,Jefferson,Alabama
Adger,35006,Jefferson,Alabama
Bessemer,35020,Jefferson,Alabama
Bessemer,35021,Jefferson,Alabama
Bessemer,35022,Jefferson,Alabama
Bessemer,35023,Jefferson,Alabama
Brookside,35036,Jefferson,Alabama
Burnwell,35038,Jefferson,Alabama
Docena,35060,Jefferson,Alabama
Dolomite,35061,Jefferson,Alabama
Dora,35062,Jefferson,Alabama
Fairfield,35064,Jefferson,Alabama
Fultondale,35068,Jefferson,Alabama
Gardendale,35071,Jefferson,Alabama
Graysville,35073,Jefferson,Alabama
Kimberly,35091,Jefferson,Alabama
Morris,35116,Jefferson,Alabama
Mount Olive,35117,Jefferson,Alabama
Mulga,35118,Jefferson,Alabama
New Castle,35119,Jefferson,Alabama
Pinson,35126,Jefferson,Alabama
Pleasant Grove,35127,Jefferson,Alabama
Sayre,35139,Jefferson,Alabama
Shannon,35142,Jefferson,Alabama
Trussville,35173,Jefferson,Alabama
Warrior,35180,Jefferson,Alabama
Watson,35181,Jefferson,Alabama
Wattsville,35182,Jefferson,Alabama
Birmingham,35203,Jefferson,Alabama
Birmingham,35204,Jefferson,Alabama
Birmingham,35205,Jefferson,Alabama
Birmingham,35206,Jefferson,Alabama
Birmingham,35207,Jefferson,Alabama
Birmingham,35208,Jefferson,Alabama
Birmingham,35209,Jefferson,Alabama
Birmingham,35210,Jefferson,Alabama
Birmingham,35211,Jefferson,Alabama
Birmingham,35212,Jefferson,Alabama
Birmingham,35213,Jefferson,Alabama
Birmingham,35214,Jefferson,Alabama
Birmingham,35215,Jefferson,Alabama
Birmingham,35216,Jefferson,Alabama
Birmingham,35217,Jefferson,Alabama
Birmingham,35218,Jefferson,Alabama
Birmingham,35219,Jefferson,Alabama
Birmingham,35220,Jefferson,Alabama
Birmingham,35221,Jefferson,Alabama
Birmingham,35222,Jefferson,Alabama
Birmingham,35223,Jefferson,Alabama
Birmingham,35224,Jefferson,Alabama
Birmingham,35225,Jefferson,Alabama
Birmingham,35226,Jefferson,Alabama
Birmingham,35228,Jefferson,Alabama
Birmingham,35229,Jefferson,Alabama
Birmingham,35230,Jefferson,Alabama
Birmingham,35231,Jefferson,Alabama
Birmingham,35232,Jefferson,Alabama
Birmingham,35233,Jefferson,Alabama
Birmingham,35234,Jefferson,Alabama
Birmingham,35235,Jefferson,Alabama
Birmingham,35236,Jefferson,Alabama
Birmingham,35237,Jefferson,Alabama
Birmingham,35238,Jefferson,Alabama
Birmingham,35240,Jefferson,Alabama
Birmingham,35243,Jefferson,Alabama
Birmingham,35244,Jefferson,Alabama
Birmingham,35245,Jefferson,Alabama
Birmingham,35246,Jefferson,Alabama
Birmingham,35249,Jefferson,Alabama
Birmingham,35253,Jefferson,Alabama
Birmingham,35254,Jefferson,Alabama
Birmingham,35255,Jefferson,Alabama
Birmingham,35259,Jefferson,Alabama
Birmingham,35260,Jefferson,Alabama
Birmingham,35261,Jefferson,Alabama
Birmingham,35263,Jefferson,Alabama
Birmingham,35266,Jefferson,Alabama
Birmingham,35277,Jefferson,Alabama
Birmingham,35278,Jefferson,Alabama
Birmingham,35279,Jefferson,Alabama
Birmingham,35280,Jefferson,Alabama
Birmingham,35281,Jefferson,Alabama
Birmingham,35282,Jefferson,Alabama
Birmingham,35283,Jefferson,Alabama
Birmingham,35285,Jefferson,Alabama
Birmingham,35286,Jefferson,Alabama
Birmingham,35287,Jefferson,Alabama
Birmingham,35288,Jefferson,Alabama
Birmingham,35289,Jefferson,Alabama
Birmingham,35290,Jefferson,Alabama
Birmingham,35291,Jefferson,Alabama
Birmingham,35292,Jefferson,Alabama
Birmingham,35293,Jefferson,Alabama
Birmingham,35294,Jefferson,Alabama
Birmingham,35295,Jefferson,Alabama
Birmingham,35296,Jefferson,Alabama
Birmingham,35297,Jefferson,Alabama
Birmingham,35298,Jefferson,Alabama
Birmingham,35299,Jefferson,Alabama
Beaverton,35544,Lamar,Alabama
Detroit,35552,Lamar,Alabama
Millport,35576,Lamar,Alabama
Sulligent,35586,Lamar,Alabama
Vernon,35592,Lamar,Alabama
Anderson,35610,Lauderdale,Alabama
Florence,35630,Lauderdale,Alabama
Florence,35631,Lauderdale,Alabama
Florence,35632,Lauderdale,Alabama
Florence,35633,Lauderdale,Alabama
Florence,35634,Lauderdale,Alabama
Killen,35645,Lauderdale,Alabama
Lexington,35648,Lauderdale,Alabama
Rogersville,35652,Lauderdale,Alabama
Waterloo,35677,Lauderdale,Alabama
Decatur,35699,Lauderdale,Alabama
Courtland,35618,Lawrence,Alabama
Hillsboro,35643,Lawrence,Alabama
Moulton,35650,Lawrence,Alabama
Mount Hope,35651,Lawrence,Alabama
Town Creek,35672,Lawrence,Alabama
Trinity,35673,Lawrence,Alabama
Opelika,36801,Lee,Alabama
Opelika,36802,Lee,Alabama
Opelika,36803,Lee,Alabama
Opelika,36804,Lee,Alabama
Auburn,36830,Lee,Alabama
Auburn,36831,Lee,Alabama
Auburn,36832,Lee,Alabama
Auburn University,36849,Lee,Alabama
Cusseta,36852,Lee,Alabama
Loachapoka,36865,Lee,Alabama
Phenix City,36870,Lee,Alabama
Salem,36874,Lee,Alabama
Smiths Station,36877,Lee,Alabama
Waverly,36879,Lee,Alabama
Athens,35611,Limestone,Alabama
Athens,35612,Limestone,Alabama
Athens,35613,Limestone,Alabama
Athens,35614,Limestone,Alabama
Belle Mina,35615,Limestone,Alabama
Elkmont,35620,Limestone,Alabama
Lester,35647,Limestone,Alabama
Mooresville,35649,Limestone,Alabama
Tanner,35671,Limestone,Alabama
Ardmore,35739,Limestone,Alabama
Madison,35756,Limestone,Alabama
Fort Deposit,36032,Lowndes,Alabama
Hayneville,36040,Lowndes,Alabama
Letohatchee,36047,Lowndes,Alabama
Lowndesboro,36752,Lowndes,Alabama
Tyler,36785,Lowndes,Alabama
Fort Davis,36031,Macon,Alabama
Hardaway,36039,Macon,Alabama
Shorter,36075,Macon,Alabama
Tuskegee,36083,Macon,Alabama
Tuskegee Institute,36087,Macon,Alabama
Tuskegee Institute,36088,Macon,Alabama
Notasulga,36866,Macon,Alabama
Brownsboro,35741,Madison,Alabama
Capshaw,35742,Madison,Alabama
Gurley,35748,Madison,Alabama
Harvest,35749,Madison,Alabama
Hazel Green,35750,Madison,Alabama
Madison,35757,Madison,Alabama
Madison,35758,Madison,Alabama
Meridianville,35759,Madison,Alabama
New Hope,35760,Madison,Alabama
New Market,35761,Madison,Alabama
Normal,35762,Madison,Alabama
Owens Cross Roads,35763,Madison,Alabama
Toney,35773,Madison,Alabama
Huntsville,35801,Madison,Alabama
Huntsville,35802,Madison,Alabama
Akutan,99553,Aleutians East,Alaska
Cold Bay,99571,Aleutians East,Alaska
False Pass,99583,Aleutians East,Alaska
King Cove,99612,Aleutians East,Alaska
Sand Point,99661,Aleutians East,Alaska
Adak,99546,Aleutians West,Alaska
Atka,99547,Aleutians West,Alaska
Saint George Island,99591,Aleutians West,Alaska
Nikolski,99638,Aleutians West,Alaska
Saint Paul Island,99660,Aleutians West,Alaska
Unalaska,99685,Aleutians West,Alaska
Dutch Harbor,99692,Aleutians West,Alaska
Anchorage,99501,Anchorage,Alaska
Anchorage,99502,Anchorage,Alaska
Anchorage,99503,Anchorage,Alaska
Anchorage,99504,Anchorage,Alaska
Jber,99505,Anchorage,Alaska
Jber,99506,Anchorage,Alaska
Anchorage,99507,Anchorage,Alaska
Anchorage,99508,Anchorage,Alaska
Anchorage,99515,Anchorage,Alaska
Anchorage,99516,Anchorage,Alaska
Anchorage,99517,Anchorage,Alaska
Anchorage,99518,Anchorage,Alaska
Indian,99540,Anchorage,Alaska
Chugiak,99567,Anchorage,Alaska
Eagle River,99577,Anchorage,Alaska
Girdwood,99587,Anchorage,Alaska
Kongiganak,99545,Bethel,Alaska
Akiachak,99551,Bethel,Alaska
Akiak,99552,Bethel,Alaska
Aniak,99557,Bethel,Alaska
Bethel,99559,Bethel,Alaska
Chefornak,99561,Bethel,Alaska
Crooked Creek,99575,Bethel,Alaska
Eek,99578,Bethel,Alaska
Goodnews Bay,99589,Bethel,Alaska
Kalskag,99607,Bethel,Alaska
Kasigluk,99609,Bethel,Alaska
Kipnuk,99614,Bethel,Alaska
Kwethluk,99621,Bethel,Alaska
Kwigillingok,99622,Bethel,Alaska
Lower Kalskag,99626,Bethel,Alaska
Mekoryuk,99630,Bethel,Alaska
Napakiak,99634,Bethel,Alaska
Toksook Bay,99637,Bethel,Alaska
Nunapitchuk,99641,Bethel,Alaska
Platinum,99651,Bethel,Alaska
Quinhagak,99655,Bethel,Alaska
Red Devil,99656,Bethel,Alaska
Sleetmute,99668,Bethel,Alaska
Tuluksak,99679,Bethel,Alaska
Tuntutuliak,99680,Bethel,Alaska
Tununak,99681,Bethel,Alaska
Nightmute,99690,Bethel,Alaska
King Salmon,99613,Bristol Bay,Alaska
Naknek,99633,Bristol Bay,Alaska
South Naknek,99670,Bristol Bay,Alaska
Juneau,99802,Juneau,Alaska
Juneau,99803,Juneau,Alaska
Juneau,99811,Juneau,Alaska
Juneau,99812,Juneau,Alaska
Auke Bay,99821,Juneau,Alaska
Juneau,99850,Juneau,Alaska
Cantwell,99729,Denali,Alaska
Healy,99743,Denali,Alaska
Anderson,99744,Denali,Alaska
Denali National Park,99755,Denali,Alaska
Aleknagik,99555,Dillingham,Alaska
Clarks Point,99569,Dillingham,Alaska
Dillingham,99576,Dillingham,Alaska
Ekwok,99580,Dillingham,Alaska
Manokotak,99628,Dillingham,Alaska
New Stuyahok,99636,Dillingham,Alaska
Togiak,99678,Dillingham,Alaska
Fairbanks,99701,Fairbanks North Star,Alaska
Eielson Afb,99702,Fairbanks North Star,Alaska
Fort Wainwright,99703,Fairbanks North Star,Alaska
North Pole,99705,Fairbanks North Star,Alaska
Fairbanks,99706,Fairbanks North Star,Alaska
Fairbanks,99707,Fairbanks North Star,Alaska
Fairbanks,99708,Fairbanks North Star,Alaska
Fairbanks,99709,Fairbanks North Star,Alaska
Fairbanks,99710,Fairbanks North Star,Alaska
Fairbanks,99711,Fairbanks North Star,Alaska
Fairbanks,99712,Fairbanks North Star,Alaska
Salcha,99714,Fairbanks North Star,Alaska
Two Rivers,99716,Fairbanks North Star,Alaska
Ester,99725,Fairbanks North Star,Alaska
Fairbanks,99775,Fairbanks North Star,Alaska
Fairbanks,99790,Fairbanks North Star,Alaska
Haines,99827,Haines,Alaska
Angoon,99820,Hoonah-Angoon,Alaska
Elfin Cove,99825,Hoonah-Angoon,Alaska
Gustavus,99826,Hoonah-Angoon,Alaska
Hoonah,99829,Hoonah-Angoon,Alaska
Pelican,99832,Hoonah-Angoon,Alaska
Tenakee Springs,99841,Hoonah-Angoon,Alaska
Juneau,99801,Juneau,Alaska
Douglas,99824,Juneau,Alaska
Anchor Point,99556,Kenai Peninsula,Alaska
Clam Gulch,99568,Kenai Peninsula,Alaska
Cooper Landing,99572,Kenai Peninsula,Alaska
Homer,99603,Kenai Peninsula,Alaska
Hope,99605,Kenai Peninsula,Alaska
Kasilof,99610,Kenai Peninsula,Alaska
Kenai,99611,Kenai Peninsula,Alaska
Moose Pass,99631,Kenai Peninsula,Alaska
Nikiski,99635,Kenai Peninsula,Alaska
Ninilchik,99639,Kenai Peninsula,Alaska
Seldovia,99663,Kenai Peninsula,Alaska
Seward,99664,Kenai Peninsula,Alaska
Soldotna,99669,Kenai Peninsula,Alaska
Sterling,99672,Kenai Peninsula,Alaska
Tyonek,99682,Kenai Peninsula,Alaska
Ketchikan,99901,Ketchikan Gateway,Alaska
Ward Cove,99928,Ketchikan Gateway,Alaska
Port Lions,99550,Kodiak Island,Alaska
Karluk,99608,Kodiak Island,Alaska
Kodiak,99615,Kodiak Island,Alaska
Kodiak,99619,Kodiak Island,Alaska
Larsen Bay,99624,Kodiak Island,Alaska
Old Harbor,99643,Kodiak Island,Alaska
Ouzinkie,99644,Kodiak Island,Alaska
Kodiak,99697,Kodiak Island,Alaska
Chignik Lake,99548,Lake and Peninsula,Alaska
Port Heiden,99549,Lake and Peninsula,Alaska
Chignik,99564,Lake and Peninsula,Alaska
Chignik Lagoon,99565,Lake and Peninsula,Alaska
Egegik,99579,Lake and Peninsula,Alaska
Iliamna,99606,Lake and Peninsula,Alaska
Levelock,99625,Lake and Peninsula,Alaska
Nondalton,99640,Lake and Peninsula,Alaska
Pedro Bay,99647,Lake and Peninsula,Alaska
Perryville,99648,Lake and Peninsula,Alaska
Pilot Point,99649,Lake and Peninsula,Alaska
Port Alsworth,99653,Lake and Peninsula,Alaska
Wasilla,99629,Matanuska-Susitna,Alaska
Palmer,99645,Matanuska-Susitna,Alaska
Big Lake,99652,Matanuska-Susitna,Alaska
Wasilla,99654,Matanuska-Susitna,Alaska
Skwentna,99667,Matanuska-Susitna,Alaska
Sutton,99674,Matanuska-Susitna,Alaska
Talkeetna,99676,Matanuska-Susitna,Alaska
Trapper Creek,99683,Matanuska-Susitna,Alaska
Wasilla,99623,Matanuska-Susitna,Alaska
Wasilla,99687,Matanuska-Susitna,Alaska
Willow,99688,Matanuska-Susitna,Alaska
Houston,99694,Matanuska-Susitna,Alaska
Anchorage,99509,Anchorage,Alaska
Anchorage,99510,Anchorage,Alaska
Anchorage,99511,Anchorage,Alaska
Anchorage,99513,Anchorage,Alaska
Anchorage,99514,Anchorage,Alaska
Anchorage,99519,Anchorage,Alaska
Anchorage,99520,Anchorage,Alaska
Anchorage,99521,Anchorage,Alaska
Anchorage,99522,Anchorage,Alaska
Anchorage,99523,Anchorage,Alaska
Anchorage,99524,Anchorage,Alaska
Anchorage,99529,Anchorage,Alaska
Anchorage,99530,Anchorage,Alaska
Anchorage,99599,Anchorage,Alaska
Anchorage,99695,Anchorage,Alaska
Saint Michael,99659,Nome,Alaska
Stebbins,99671,Nome,Alaska
Unalakleet,99684,Nome,Alaska
Elim,99739,Nome,Alaska
Gambell,99742,Nome,Alaska
Koyuk,99753,Nome,Alaska
Nome,99762,Nome,Alaska
Savoonga,99769,Nome,Alaska
Shaktoolik,99771,Nome,Alaska
Shishmaref,99772,Nome,Alaska
Teller,99778,Nome,Alaska
Wales,99783,Nome,Alaska
White Mountain,99784,Nome,Alaska
Brevig Mission,99785,Nome,Alaska
Anaktuvuk Pass,99721,North Slope,Alaska
Barrow,99723,North Slope,Alaska
Prudhoe Bay,99734,North Slope,Alaska
Kaktovik,99747,North Slope,Alaska
Point Lay,99759,North Slope,Alaska
Point Hope,99766,North Slope,Alaska
Wainwright,99782,North Slope,Alaska
Nuiqsut,99789,North Slope,Alaska
Atqasuk,99791,North Slope,Alaska
Buckland,99727,Northwest Arctic,Alaska
Deering,99736,Northwest Arctic,Alaska
Kiana,99749,Northwest Arctic,Alaska
Kivalina,99750,Northwest Arctic,Alaska
Kobuk,99751,Northwest Arctic,Alaska
Kotzebue,99752,Northwest Arctic,Alaska
Noatak,99761,Northwest Arctic,Alaska
Noorvik,99763,Northwest Arctic,Alaska
Selawik,99770,Northwest Arctic,Alaska
Shungnak,99773,Northwest Arctic,Alaska
Ambler,99786,Northwest Arctic,Alaska
Kake,99830,Petersburg,Alaska
Petersburg,99833,Petersburg,Alaska
Port Alexander,99836,Petersburg,Alaska
Meyers Chuck,99903,Prince of Wales-Outer Ketchikan,Alaska
Coffman Cove,99918,Prince of Wales-Outer Ketchikan,Alaska
Thorne Bay,99919,Prince of Wales-Outer Ketchikan,Alaska
Craig,99921,Prince of Wales-Outer Ketchikan,Alaska
Hydaburg,99922,Prince of Wales-Outer Ketchikan,Alaska
Hyder,99923,Prince of Wales-Outer Ketchikan,Alaska
Klawock,99925,Prince of Wales-Outer Ketchikan,Alaska
